Price,Area,Location,Bedrooms,Resale,Gymnasium,Lift,Parking,Maintenance,Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas_Conn,Jogging Track,Swimming Pool
210000,585,Nala Sopara,1,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No
210000,590,Koproli,1,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No
210000,582,Nala Sopara,1,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes
210500,495,KASHELI,1,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No
211000,495,Kasheli,1,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No
211000,545,Badlapur West,1,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No
211600,630,mumbai,1,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No
211600,672,Badlapur East,1,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
213000,560,Nala Sopara,1,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
213900,620,Boisar,1,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
215000,655,Badlapur East,1,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes
215000,425,Kurla West,1,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No
215000,820,Boisar,2,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
215000,415,Nala Sopara,1,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No
215000,465,Boisar,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
215000,525,Nalasopara West,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
215000,525,Nala Sopara,1,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
215000,580,Nala Sopara,1,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No
215000,500,Nalasopara West,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No
215000,580,Nala Sopara,1,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No
215600,565,Titwala,1,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No
215600,580,Nala Sopara,1,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No
216400,571,Badlapur,1,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No
217000,505,Badlapur,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
217400,570,Titwala,1,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No
217800,605,Boisar,1,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
217800,605,Boisar,1,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
219000,655,Badlapur East,1,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
220000,500,Naigaon East,1,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes
220000,400,Shirgaon,1,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No
220000,450,Kharegaon,1,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
220000,670,Badlapur West,1,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
220000,500,Naigaon East,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No
220000,470,Taloja,1,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No
